Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2018,TCS,2701.2,2682.3,2694.8,2635,2650,2645.6,2654.94,675880,1.79442E+14,19464,330691,0.4893
02-01-2018,TCS,2645.6,2660,2669.6,2620.2,,2631.2,2641.06,960145,2.5358E+14,46813,555820,0.5789
03-01-2018,TCS,2631.2,2632,,2631.2,2639,2638.65,2649.21,628560,1.66519E+14,32104,361072,0.5744
04-01-2018,TCS,2638.65,2650,2662,2640,2650,2657.1,2649.94,456541,1.20981E+14,32647,264561,0.5795
05-01-2018,TCS,,2650,2699.5,2650,2695,2689.2,2684.95,576853,1.54882E+14,30836,318083,0.5514
08-01-2018,TCS,,2700,2726.85,2681.85,2708.8,2714.4,2709.74,621110,1.68305E+14,43815,345599,0.5564
09-01-2018,TCS,2714.4,2715,2721,2676.55,,2709,2703.56,,2.90551E+14,47403,612650,0.5701
10-01-2018,TCS,,2711,2816,2694.65,2803,2806.6,2763.3,1682925,4.65042E+14,70764,699460,
11-01-2018,TCS,2806.6,2810,2821.9,2782.2,2792.5,2790.5,2796.58,1260524,3.52516E+14,,,0.4587
12-01-2018,TCS,2790.5,,2805,2740.55,2769.9,2776.35,2764.28,1680157,4.64442E+14,90884,472438,0.2812
15-01-2018,TCS,2776.35,2777.15,2808,2735.05,2737.4,2746.1,2768.32,728607,2.01701E+14,49926,394675,
16-01-2018,TCS,2746.1,2756,2861.65,2750.55,2860,2850.85,2834.5,2133876,6.04846E+14,,639155,
17-01-2018,TCS,2850.85,2870,,2862.15,2895,2888.95,2900.36,2140403,6.20795E+14,94873,965845,0.4512
,TCS,2888.95,2897,2933,2868.05,2926.55,2918.2,2896.35,1104739,,51786,568379,0.5145
19-01-2018,TCS,2918.2,2930.55,2982,2903.65,2974.85,2959.3,2930.77,910000,2.667E+14,44039,436952,0.4802
22-01-2018,TCS,2959.3,2961,3134.7,2922,3090,3116.4,3052.16,2183555,,97757,663651,0.3039
23-01-2018,TCS,3116.4,3114.95,3142.35,3090.05,3097.9,3102,3112.03,1619805,5.04088E+14,,705309,0.4354
24-01-2018,TCS,3102,3090,3259.05,3082.65,3174.95,3174.6,3189.59,2810769,8.96519E+14,111512,862385,0.3068
25-01-2018,TCS,3174.6,3175,3179.8,3081,3133,3121.05,3123.06,1916922,5.98666E+14,,925615,0.4829
29-01-2018,TCS,3121.05,3131.4,3225,3122,3199.25,3198.85,3196.14,,5.01964E+14,,832172,0.5299
